title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"hp 962 cyan, magenta, yellow ink cartridges for hp printers | works with printer series: officejet 9010, 9020 | eligible for instant ink | 3yp00an",4.6,13112,10000,69.95,69.95,0,no,0
"fujifilm instax mini instant film, 10 sheets x 5 packs (total 50 shoots)",4.7,3724,10000,60.5,60.5,0,no,1
"sony wh-1000xm4 wireless premium noise canceling overhead headphones with mic for phone-call and alexa voice control, black wh1000xm4",4.6,60696,10000,198.0,348.0,0,no,1
post-it super sticky easel pad 25 in x 30 in white 30 sheets/pad 2 pad/pack large white premium self stick flip chart paper super sticking power (559),4.8,6853,10000,43.87,65.99,0,no,1
"avery insertable plastic dividers for 3 ring binders, 8 tabs per set, big tabs, two pockets, multicolor binder dividers, works with sheet protectors (11903)",4.8,3875,40000,4.26,5.84,0,no,1
"philips tat1108 wireless earbuds,true wireless headphones,powerful bass with 6 mm driver,clear call with ai mic,15-hour battery life,bluetooth v5.3,ipx4 rating,ergonomic design for comfort,black",3.9,6335,500,29.99,32.72,1,>=10$,1
"kodak 10.1 inch wifi digital picture frame,1280x800 hd ips touch screen, electronic smart photo frame with 32 gb memory, auto-rotate, instantly share photos/videos anywhere",4.1,264,200,85.99,85.99,1,>=10$,1
"sanus height adjustable speaker stand for sonos era 300™ - 17"" height adjustment sonos stand includes carpet spikes & rubber pads - easy diy install comes w/all hardware - white",4.4,45,200,179.99,179.99,1,no,1
"hp 64xl black high-yield ink cartridge for hp printers | works with printer series: envy inspire 7950e; envy photo 6200, 7100, 7800; tango | eligible for instant ink | n9j92an",4.7,23337,10000,69.95,69.95,0,no,0
"samsung 990 evo plus ssd 2tb, pcie gen 4x4, gen 5x2 m.2 2280, speeds up-to 7,250 mb/s, upgrade storage for pc/laptops, hmb technology and intelligent turbowrite 2.0, (mz-v9s2t0b/am)",4.8,5990,10000,119.99,176.99,0,no,1
"hp 63 black/tri-color ink (2-pack) | works with hp deskjet 1112, 2130, 3630 series; envy 4510, 4520 series; officejet 3830, 4650, 5200 series | eligible for instant ink | l0r46an",4.7,45015,10000,69.95,69.95,0,no,0
"amazon basics dog and puppy pee pads with 5-layer leak-proof design and quick-dry surface for potty training, standard absorbency, x-large, 28 x 34 inch - pack of 60, blue & white",4.5,237579,20000,26.99,26.99,0,no,1
"hp 952 cyan, magenta, yellow ink cartridges (3-pack) | works with printer series: officejet 8702, hp officejet pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 | eligible for instant ink | n9k27an",4.6,18869,10000,69.95,69.95,0,no,0
"logitech m510 wireless mouse, mouse for laptop and pc with usb unifying receiver, programmable buttons - graphite",4.6,33246,10000,25.98,27.99,0,no,1
"energizer ultimate lithium aa batteries (8 pack), 1.5v lithium double a batteries",4.7,47221,30000,69.95,69.95,0,no,0
apple airpods 2 with charging case - white (renewed),4.1,16761,10000,82.0,96.99,0,no,0
"soundcore by anker p20i true wireless earbuds, 10mm drivers with big bass, bluetooth 5.3, 30h long playtime, water-resistant, 2 mics for ai clear calls, 22 preset eqs, customization via app",4.4,71952,10000,28.33,39.99,0,no,1
"roku ultra - ultimate streaming player - 4k streaming device for tv with hdr10+, dolby vision & atmos - bluetooth & wi-fi 6- rechargeable voice remote pro with backlit buttons - free & live tv",4.6,4543,10000,97.99,97.99,0,no,1
apple usb-c woven charge cable (2 m) ​​​​​​​,4.7,2665,10000,69.95,69.95,0,no,0
"apple 2025 macbook air 15-inch laptop with m4 chip: built for apple intelligence, 15.3-inch liquid retina display, 16gb unified memory, 256gb ssd storage, 12mp center stage camera, touch id; midnight",4.8,815,4000,69.95,69.95,0,no,0
"dewalt heavy duty black edition 2-in-1 neckband bluetooth headphones w/built-in speakers, jobsite wearable speaker & around neck, wireless headset, 60+ hrs hands-free music & calls, carry pouch",4.4,1408,500,99.99,99.99,1,<25%,1
"peak design slide lite camera strap, black, configurable as a sling, neck or shoulder strap, quick release and connection, smooth and grippy side, camera straps for photographers, 200 lb capacity",4.7,7235,500,69.95,69.95,1,no,1
"monster open ac601 wireless earbuds, crystal clear call, usb-c charging, bluetooth 5.4 open earphones with enc, ipx5 waterproof wireless clip-on earbud, 32h playtime earbuds (white)",4.0,1710,50,29.99,49.99,1,no,1
"logitech g305 lightspeed wireless gaming mouse, hero 12k sensor, 12,000 dpi, lightweight, 6 programmable buttons, 250h battery life, on-board memory, pc/mac - black",4.6,34391,10000,69.95,69.95,0,no,0
"hp 923 black, cyan, magenta, yellow ink cartridges printers | works with printer series: officejet 8120, officejet pro 8130 | eligible for instant ink | 6c3y6ln",4.6,1184,10000,93.89,93.89,0,no,1
"apple airpods max wireless over-ear headphones, pro-level active noise cancellation, transparency mode, personalized spatial audio, usb-c charging, bluetooth headphones for iphone - midnight",4.6,2039,6000,69.95,69.95,0,no,0
"apc ups battery backup and surge protector, 600va/330 watts backup battery power supply, be600m1 back-ups with usb charger port",4.5,35746,10000,69.95,69.95,0,no,0
amazon basics 24 count aa & aaa high-performance alkaline batteries value pack - 12 double aa batteries and 12 triple aaa batteries,4.7,36633,30000,10.35,11.87,0,no,1
"scotch thermal laminating pouches, 200 count, clear, 3 mil., ideal office or school supplies, fits letter sized paper (8.9 in. × 11.4 in.)",4.9,28281,20000,24.99,43.29,0,no,1
"xbox wireless gaming controller (2025) – carbon black – play on xbox, windows, android, ios, firetv sticks, smart tvs, vr headsets",4.6,25104,10000,54.0,64.99,0,no,0
"fitbit charge 6 fitness tracker with google apps, heart rate on exercise equipment, 6-months premium membership included, gps, health tools and more, obsidian/black, one size (s & l bands included)",4.1,8639,9000,119.95,159.95,0,no,1
"scotch tl901x thermal laminator, 1 laminating machine, gray, laminate school assignments and documents, for dorm room or school supplies, 9 in.",4.7,59612,20000,39.99,45.79,0,no,1
"anker power bank(powercore 10k),compact travel-ready 10,000mah battery pack with poweriq charging technology,5v/3a high-speed charging for iphone,ipad,and more (usb-c input and output（black），1pack)",4.5,110456,10000,69.95,69.95,0,no,0
"samsung t7 portable ssd, 1tb external solid state drive, speeds up to 1,050mb/s, usb 3.2 gen 2, reliable storage for gaming, students, professionals, mu-pc1t0t/am, gray",4.7,35827,10000,79.99,109.99,0,no,1
"bic xtra strong mechanical pencils with erasers, thick point (0.9mm), 24-count, mechanical pencils for school or office supplies",4.8,23494,40000,4.47,8.99,0,no,1
